"","title","docid","categories","day_of_month","month","year","correction_data","locations","content"
"206","Bridge Collapses in Tennessee",763069,NA,17,5,1995,"19950517T000000","|TENNESSEE",""
"207","Natalie Coe and Eduardo Llanos",768292,"|style",11,6,1995,"19950611T000000",NA," 
 Natalie Coe, a daughter of Dr. Michael D. Coe of New Haven and the late Dr. Sophie D. Coe, was married on Friday to Eduardo Llanos Ruiz, a son of Efraim Llanos and Maria Ruiz of Santiago de Cuba, Cuba. Olga Lidia Perez Diaz, a notary and a lawyer at the International Legal Consultancy, a department of the Cuban Government, performed the ceremony at La Maison, a tourist complex in Havana. 
 Ms. Coe, 26, is keeping her name. She is the translations editor at Prensa Latina, the Cuban Government news agency, in Havana. She received a bachelor's and master's degrees in philosophy, politics and economics from Oxford University. Her father retired as the Charles J. MacCurdy Professor of Anthropology at Yale University in New Haven. He is also an author, whose works include ""Breaking the Maya Code."" Her mother was a culinary anthropologist and author of ""America's First Cuisines."" 
 The bride is a granddaughter of the late Dr. Theodosius Dobzhansky, the Russian-born geneticist. She is a great-great granddaughter of the late Henry Huddleston Rogers, a founder of the Standard Oil Company. 
 Mr. Llanos, 39, is an electronics specialist in the medical school laboratories of the University of Havana. He graduated from the Havana Electronics Institute. His father retired as a bank teller at the Banco Nacional de Cuba in Santiago de Cuba. 
 The couple's first marriages ended in divorce. 
 WEDDINGS"
"208","The Battle By the River Drags On",779140,"|new york|region",31,7,1995,"19950731T000000","|NEW YORK CITY|WEST SIDE HIGHWAY (NYC)"," 
 Donald Trump's long delayed plan for Riverside South, a $2 billion cluster of apartments and park land on the West Side of Manhattan, hit another snag last week when the House of Representives blocked the use of Federal funds to reconstruct part of the West Side Highway. 
 The measure, sponsored by Representative Jerrold L. Nadler, a West Side Democrat who fiercely opposes the project, provoked a barrage of criticism. The funds were to submerge the elevated section of the highway, between 59th Street and 72d Street, making way for a park with unimpeded access to the Hudson. 
 Mr. Trump claimed victory, saying he intended to build in any case. 
 But an assortment of civic organizations, in an unusual coalition with Mr. Trump, complained that the city risks losing a historic opportunity. 
 Despite Mr. Nadler's bill, money could be restored by the Senate or by the House itself. But that would be a tough sell because $72 million has just been spent on the highway. Here are some views on what should come next. Jerrold L. Nadler United States Representative 
 The project is now in serious trouble. Mr. Trump said keeping the highway in place will make the project easier for him to build. That is not true. Relocating the highway is essential so the apartments are marketable. With the highway in its current location, the apartments will look out on highway girders instead of the Hudson River. Riverside South would simply be too massive for the West Side. The infrastructure just can't handle a project of this size. And any park adjacent to this project would be overshadowed and cut off from the West Side by a wall of 45-story buildings, rendering it little more than a small, private front yard for those living in Riverside South. This project is being backed by coalition of arrogant, unrepresentative civic groups that came into the West Side, decided what was best, and imposed it on us. Ruth W. Messinger Manhattan Borough President 
 Would an elevated highway running through the park be fatal? No. I've seen great parks with worse obstacles. The area would remain one of the longest expanses in Manhattan where we can really experience the waterfront. But I continue to believe an at-grade inland highway would make an even better park. Under the restrictions we imposed on this project, the park is to be designed in consultation with the community, emphasizing waterfront access and active recreation. I hope we acheve those goals with a flexible design so that some day, after the just-completed refurbishing of the highway has served its purpose, we might return more of the waterfront to the people and keep less for the road. H. Claude Shostal President, Regional Plan Association 
 The highway relocation is not a dead issue and we will continue to fight for it. I refuse to accept that irresponsible political grandstanding could kill the most important addition of open space in Manhattan since Central Park. Riverside South represents a new way of doing public business, sensible cooperation and compromise instead of conflict and litigation. And the rest of the country is watching to see if it will work. The civic organizations made a deal to withdraw their litigation in exchange for city and state support for the redesigned project. If the new administrations walk away from this agreement, then we will be back to bitter business as usual. Daniel Patrick Moynihan United States Senator 
 In February 1977, I stood the remains of a West Side pier and listened to Secretary of Transportation Brock Adams reaffirm a commitment made in the waning hours of the Ford Administration. A Federal interstate highway would be built at river's edge from 43d to the Battery. It would be dug into the bank and a park extending to the river would be built on top. All the way. The equal in our century of Central Park in the last. But then, a Federal judge in a truly baffling decision held that demolishing the piers -- which were already visibly floating out to sea -- would interfere with the spawning grounds of the striped bass. The Federal judge and the Environmental Protection Agency killed Westway. Years have gone by and we now have something of a second chance. In the 1991 Intermodal Surface Transportation Efficiency Act, I provided $15 million to sink the elevated West Side highway and build a park over it out to the river's edge. A small sector of what Westway would have been. Possibly an inspiration for more. But, once again, the litigation commences and the future clouds over."
"209","Soupspoon's Blues",782119,"|arts|books",13,8,1995,"19950813T000000",NA," 
 RL'S DREAM  By Walter Mosley. 267 pp. New York: W. W. Norton & Company. $22. 
 THE ""RL"" of Walter Mosley's new novel, ""RL's Dream,"" is Robert Johnson, the Delta blues singer who died young and violently in 1938. (No one knows why Johnson called himself RL, and Mr. Mosley doesn't attempt an explanation.) Admired by blues connoisseurs in life, he was rediscovered by the largely white, middle-class folk and blues revival of the 1960's, and reborn in a big way 25 years later to a pop audience that acknowledged him as a dark-of-night backwoods conjurer who prefigured everything from Chicago blues to hard rock -- a tormented visionary who bartered his soul to the Devil. And what did he get in return -- genius? women? recognition? It is difficult to speak concretely of Robert Johnson, as it is of many artists who lived lives so short, messy and contrary that if not for their work they would seem like figures in mythology. 
 Although Mr. Mosley brings him to ground in a tangled vignette that arrives about midway in the book, allowing him to breathe hotly on the page, it is ultimately the mythic Robert Johnson who haunts this often startling, emphatic modern-day fable. Mr. Mosley's RL is at once a blues virtuoso who makes dancers go wild, whose ""blues would rip the skin right off yo' back,"" and a gloomy apparition of futility. One disciple who can't shake the dread is Atwater (Soupspoon) Wise, a black Mississippi orphan who briefly traveled with Johnson. Now dying in New York, he is obsessed with recounting and defining their association. Mr. Mosley zooms in on him on the Lower East Side, hobbling in blind terror and befouled agony, with a busted hip and advanced cancer, hallucinating ""a young man with short nappy hair and one dead eye."" When he arrives at his apartment, he is expelled for nonpayment of rent and left to die on the street. 
 Enter Kiki Waters, in pain herself after being stabbed that day by a 10-year-old black boy. One of the most unlikely saviors to enter American fiction in some years, Kiki was born in Arkansas, where she was the victim of unspeakably savage sexual attacks from her father. She is a white woman in her early 30's -- alcoholic, fiercely independent, unpredictable, scary and smart. A tenant in Soupspoon's building, though they have never met, she throws a tantrum over his eviction and insists that he move in with her. She quickly dispatches her sometime boyfriend (a Negro convinced by his mother that he isn't), the landlord and others who stand in her way. Undeterred by Soupspoon's stench, she undresses him, carries him -- despite the pull on her stitches -- to the tub and bathes him. Soup thinks, in concert with the reader: ""Maybe she was crazy. Drunk maybe, or insane."" Yet she shakes loose ""the loneliness that had been his life for years."" 
 ""RL's Dream"" is about Soup's last stand as a musician and how he and Kiki alternate roles of nurturer and invalid. It is a story of the Deep South but set in another country, up north. They live in New York but dream of the piney woods. ""While Soupspoon was counting dead bodies in his sleep, Kiki called out, 'No, daddy.' Her dream was Southern too."" Yet their obsessive recollections have entirely different tenors. Atwater's are elegiac -- even his litanies of violence, murder, racism. ""For all that it was barren, the Delta was a beautiful land too. It was a hard land but true. It had the whippoorwill and the hoot owl and crickets for music. It had pale dead trees that stood out in the moonlight like the hands of dead men reaching out of the ground."" Kiki's are horrific -- she drinks herself into a stupor for fear of remembering. 
 It may be useful, at this point, to assure his many admirers that this is indeed the work of the Walter Mosley who has written four justly celebrated detective novels set in Los Angeles during the 15 years following World War II, and starring the serenely cool and competent Easy Rawlins. In ""RL's Dream,"" Mr. Mosley has risked a lyrical and original -- if imperfect -- leap beyond genre fiction, working for the first time in the third person and substituting an omniscient probing of damaged lives for the modulated fastidiousness of Rawlins. His superb reportorial eye is fully focused on New York's street life as well as the tar-paper bucket-of-blood juke joints of the Delta. Several episodes are as well tuned as anything he has written, including the violent conclusion, and especially a tense and comic tour de force in which Kiki embezzles a million-dollar insurance policy from her company to pay for Soupspoon's chemotherapy. More impressive still is the cast -- excepting a few stock roles (villain, milquetoast), it is mostly original and often credible. 
 STILL, episodes do congeal into misguided sentimentality, underscored by gnomic utterances designed to render Soupspoon a kind of cosmic bluesman. Sitting in the park, Soup meditates on ants and worms. As he begins his observation (""Everybody's doin' their business""), you suddenly recall that his name is Wise and wish it weren't. Wise sayings mount up all too quickly. On music: ""It's all about gettin' so close to pain that it's like a friend, like somebody you love."" On blues: ""Blues is the Devil's music an' we his chirren. RL was Satan's favorite son."" Yet when he considers RL's remark ""They ain't no gettin' away from yo stank, Soup,"" he concludes, ""The words just didn't make sense."" Oh? Unhappily, they make a lot more sense than the examples of Soup's lyrics, most of which are self-consciously arty and even foolish, confirming the reader's suspicion that Mr. Mosley knows very little about the blues or the lives of bluesmen. Incidentally, it is inconceivable that those listening to Soupspoon use the names Robert Johnson and RL interchangeably wouldn't ask why or register confusion. 
 Such moments of unreality, including an episode in which an 18-year-old beauty seduces Soupspoon, are jarring because Mr. Mosley's intonation is usually dead on. By the story's almost too perfect conclusion, you know Kiki -- ""this redheaded white girl, drunk and jagged, who thought slaps were kisses and whisky was milk"" -- well enough to recognize her on the street. The author's pleasure in her is confirmed in the crazily ripe future he gives her. Nor does Mr. Mosley miss a beat with Randy, her black boyfriend who thinks he's Egyptian; or Mavis, Soup's former wife and once RL's lover, who inhabits an apartment decorated entirely in white and is still mourning her 5-year-old son. The boy's accidental death half a century ago was indirectly related to the rowdy night Mavis spent dancing to RL and Soupspoon in a juke joint. 
 Mavis tells Kiki you can't plan your life no matter how hard you try, and that, in part, is the subject of ""RL's Dream."" Even as he regains his strength to put on an old-time fancy suit for one last musical job in a low-down back-alley gambling joint, Soupspoon Wise realizes his life was a mirage, a dream, and not even his own dream. ""I never played the blues, not really,"" he says. ""I run after it all these years. I scratched at its coattails and copied some notes. But the real blues is covered by mud and blood in the Mississippi Delta. The real blues is down that terrible passway where RL traveled, sufferin' an' singin' till he was dead. I followed him up to the gateway, but Satan scared me silly and left me back to cry.""  Gary Giddins, a staff writer at The Village Voice, is writing a biography of Bing Crosby. His most recent book is ""Faces in the Crowd: Players and Writers,"" a collection of critical essays."
"210","Corrections",783048,"|corrections|books|new york|region",17,8,1995,"19950817T000000",NA," 
 A picture caption yesterday about Senator Alfonse M. D'Amato, who was signing copies of his new book in Manhattan, misspelled the given name of Howard Stern's radio talk-show partner in some editions. The partner, who accompanied Mr. Stern to get copies of the book, is Robin Quivers."
"211","Younkers Inc.(YONK,NNM) reports earnings for 2d qtr to Jul 29",783159,"|business",18,8,1995,"19950818T000000",NA," 
 *3*** COMPANY REPORTS ** 
 *3*Younkers Inc.(YONK,NNM) 
 2d qtr to Jul 29 
 1995 
 1994 
 Sales 
 130,108,000 
 125,297,000 
 Net inc 
 b1,367,000 
 901,000 
 Share earns 
 .15 
 .10 
 Shares outst 
 9,193,439 
 9,158,132 
 b-Included expense associated with hostile takeover attempt by Carson Pirie Scott. Excluding charges, company reported earnings of 24 cents a share for the latest quarter and 36 cents a share for the year-ago period."
"212","A Word of Praise",786306,"|opinion",3,9,1995,"19950903T000000",NA," 
 To the Editor: 
 We recently went from Vienna to Prague by train. Our travel agent had arranged to have us picked up at the railroad station. Alas, nobody came. After waiting for an hour I heard a gentleman giving instructions in English. When I asked him where and how to get a taxi, he told us that many of them overcharge and volunteered to take us to our hotel by Metro. 
 Not only did he go out of his way, but he also carried our two heavy suitcases all the way to the lobby of the hotel. It turned out that he was a Czech scientist who just wanted to do a good deed. 
 Such kindness deserves public recognition, especially in times when one mostly hears of holdups and misdeeds against tourists. JOSEPH BAUER  Flushing, Queens"
"213","Food Notes",793709,"|home|garden",4,10,1995,"19951004T000000",NA," 
 The Sommeliers' New Wine 
 Wine and food lovers are in for a treat on Saturday from 2 to 4 P.M. at Sherry-Lehmann, the wine shop at 679 Madison Avenue (61st Street). Two award-winning sommeliers, Daniel Johnnes of Montrachet in TriBeCa and Larry Stone of Rubicon in San Francisco, have released a California cabernet sauvignon and chardonnay with their own new label, Deux Chapeaux. The wines will be available for tasting along with samplings of food prepared by Chris Gesualdi, the chef at Montrachet. New Health-Food Store 
 Finally, there are health-food stores that are really about food -- not just cereals, canned stuff and supplements. One of them is the Natural Frontier Market, 167 Third Avenue (at 16th Street). Near the front of this store, which opened a few months ago, is an inviting produce section. Most items are organic -- labels indicate those that are not -- and prices are fairly reasonable. Both the organic and the non-organic eggplants are $1.49 a pound. 
 The salad bar, $3.99 a pound, has mostly non-organic items. But many of the salads and baked goods at the prepared food counter are made from organic ingredients. Studying Cheese 
 Among the classes scheduled this fall at New York University's Center for Foods and Food Management is one devoted to cheese. On Nov. 2, from 6:10 to 9 P.M., a guided cheese tasting will be led by Robert Kaufelt, who owns Murray's Cheese Shop in Greenwich Village. The class is $45. To register: (212) 998-5588. Pasta Before the Kickoff 
 The dish for a tailgate picnic before the kickoff might be pasta in the shape of the team's mascot or logo. The Pasta Shoppe in Nashville has pastas representing 30 colleges and universities, including the Big 10 schools, Notre Dame and Vanderbilt. Ivy League schools are not represented. Some pastas, which come in six-ounce bags for $2.95 each, are in team colors. Notre Dame is green and white, for example. The pastas can be ordered by calling (800) 247-0188; there is a charge for shipping.  Greenwich Catering 
 In November, Debra Ponzek, the former chef at Montrachet in TriBeCa, will open a catering shop in Greenwich, Conn. Called Aux Delices: Food by Debra Ponzek, it will be at 1075 East Putnam Road, in the Riverside section. The shop will sell an array of dishes, with daily specials, plus pastries and bread. Catering will also be available. Off the Menu Array of International Openings 
 Several new restaurants have just opened, or are opening in the next week or so, and they are a diverse collection. 
 Torre di Pisa, 19 West 44th Street, a branch of a restaurant in Milan owned by Paolo and Marco Meacci, has a David Rockwell design that incorporates references to the leaning landmark for which the restaurant is named. It is due to open Oct. 11. 
 Riodizio, 417 Lafayette Street (Astor Place), is scheduled to open on Saturday and will have an open kitchen in the back, where meats, seafood, poultry, vegetables and game will be grilled on skewers, then served in unlimited quantities. It will be the first Manhattan version of a Brazilian rodizio. A rodizio dinner, including salads and side dishes, will be $18.95 ($17.95 at lunch); doggie bags will not be provided. The restaurant will also have an a la carte menu. 
 Republic, which will specialize in noodles, dumplings and other simple fare interpreted from an array of Asian countries, is planning to open on Monday at 37 Union Square West (near 17th Street). 
 Serious Chinese food is on the menu at Jimmy Sung's, 219 East 44th Street. In May, Mr. Sung sold J. Sung's Dynasty in the Hotel Lexington, which he had owned since 1986. His new restaurant, lavishly decorated, offers dishes from various regions in China. 
 Willow, with contemporary food that suggests the Mediterranean, is to open today in the duplex space at 1022 Lexington Avenue (73d Street). The owners, Lauri Gibson and Vivek Bandhu, also own Table d'Hote on East 92d Street.  Food and Drink at La Cote Basque 
 Tasters Guild-NY, a wine group, has organized a five-course dinner, with wines, at La Cote Basque on Dec. 8. The restaurant is scheduled to reopen later this month. The dinner, black tie optional, is $100 a person for members, $110 for nonmembers. For reservations, checks can be sent to Ron Kapon, 230 West 79th Street, New York 10024. Information: (212) 799-6311."
"214","Wladyslaw O. Biernacki-Poray, 71, Architect",794608,"|u.s.|obituaries",7,10,1995,"19951007T000000","|POLAND"," 
 Wladyslaw Otton Biernacki-Poray, an architect who founded and designed the American Research Hospital for Children in Krakow, Poland, died on Wednesday in  Warsaw, where he was on a business trip. He was 71 and lived in Montclair, N.J. 
 The cause was a heart attack, said his daughter, Krystyna Poray-Goddu. 
 Mr. Biernacki-Poray was born in Lwow, Poland, now Lvov, Ukraine. He joined the Polish Army in 1939 and, after spending time as a Russian prisoner, served with the Second Polish Corps of the British Eighth Army in the Middle East and Italy. He received decorations for valor in the battle of Monte Cassino, Italy,  where he was wounded. 
 After studying architecture at the University of Rome and Polish University College in London, Mr. Biernacki-Poray worked as an architect in Britain. In 1952 he came to the United States, where he worked for the Manhattan architects  Howard T. Fisher & Associates before starting his own company, Biernacki-Poray & Associates, in 1955. 
 In 1958, he persuaded Senators Hubert H. Humphrey of Minnesota and Jacob K. Javits of New York, both Democrats, to lead an effort to amend the Battle Act of 1950, which prevented the United States Government from spending Polish currency to build anything in Communist Poland. The United States had acquired the money  from sales of surplus agricultural products. 
 The amended act allowed the money to be used to the children's hospital, which was completed in 1965. 
 The hospital, now the Pediatric Institute of the Medical University of Krakow, is one of the largest children's hospitals in Europe, with 720 beds. For establishing the hospital, Mr. Biernacki-Poray was awarded the Order of Polonia  Restytuta, one of the country's highest civilian honors. 
 Mr. Biernacki-Poray also designed the Lady of Czestochowa Shrine and Pauline  Fathers' monastery in Doylestown, Pa., and the Federal Building in Newark. 
 In addition to his daughter Mrs. Poray-Goddu, of Manhattan, he is survived by his wife, Zofia; a son, Marek, of Montclair; another daughter, Renia, of Burlington, Vt., and two grandchildren."
"215","Diary",795465,"|business",8,10,1995,"19951008T000000",NA," 
 PARKING Delivered, Presumably, Dent-Free In a test run in Augsburg, Germany, an automatic rotating disc brought three cars to their parking slots. The promised waiting time at this fancy new garage: 2.5 minutes PUBLISHING  Those Business Week Papers Let's see. First Procter & Gamble sued Bankers Trust, saying it had been led down a too-risky investment path. A mass of papers quickly piled up -- lawyers tend to be good at that -- and a judge decided some of them weren't quite ready for public consumption. Then Business Week got hold of the sealed papers and smelled a scoop, a judge said no, and all sorts of First Amendment hell broke loose. Last week some smoke cleared, as the judge unsealed the documents, which seemed to bolster P.&G.'s case by disclosing losses at other companies from derivatives sold by Bankers Trust. But the free-speech issue was left smoldering, for the judge also insisted he had the right to stop publication. Now it's in the lap of the appeals courts.  CHARITY  Throwing Big Money at Cancer  It's all too familiar these days: a takeover, a merger, a little board-room back-scratching, and some executive walks away with a sum that would boggle the mind even if it lost a couple of zeroes. But last week came a stunning variation: the mind-numbing sum was going not to an executive but to science. Jon Huntsman, who made about $1 billion in chemicals, lost both parents to cancer and battled it twice himself. That was enough to prod him to say he'd give $100 million to a cancer research center at the University of Utah. That may be walking-around money to Ted Turner, but it's the largest individual gift ever to medical research. ""It's been 26 years since a man walked on the moon,"" Mr. Huntsman said, and we're still battling cancer. He wants to win this one. AUTOS  Speaking Out at Chrysler  The seat belts are off at Chrysler. Last week the chairman, Robert Eaton, lashed out at those he said wanted to ""trash"" the company -- mainly Kirk Kerkorian and Jerome York. He said Mr. Kerkorian, who now owns nearly 15 percent of Chrysler, ""has no real knowledge"" about what's happening and is merely out for ""personal gain."" He said Mr. Kerkorian and Mr. York -- the former Chrysler executive who's now in Mr. Kerkorian's camp -- are merely harming other shareholders by trying to gain control. 
 REAL ESTATE  Japanese for 'Low Rent'  Japanese real estate prices are so high they're almost an international joke (so long as someone else is paying them). So when you hear that they've plummeted -- by two-thirds or more -- in recent years, does that mean they're out of the stratosphere? Not exactly. You'll still spend $6,000 or so (every month!) to rent a modest suburban house, perhaps $4,000 for a one-bedroom Tokyo apartment; this is Japanese for ""plummet."" And it may not even last. Last week the I.M.F. forecast a recovery for the battered Japanese economy in 1996, though it did lower its estimate for the nation's growth this year. Rent 'em while you can. CAREERS  The Mailroom Gambit  It is, so it's said, the American way: if you're near the top of your field, you make a good living. So you'd think that Jay Bonin, who's in the top 200 or so Americans in his chosen field, would be riding high. If he'd been a lawyer, he might have been one of the hundreds of that profession at the Simpson defense table; if he played baseball, he'd be out there spitting with the richest of them. But Mr. Bonin's great talent is chess. Yes, there's $1 million in prize money in the world championship match that was speeding toward a conclusion last week atop the World Trade Center, but in chess, if you're not at that pinnacle, you'd better have a day job. Mr. Bonin, brilliant at chess, makes a few thousand a year at it; by day, he's a mailroom clerk. INNOVATIONS  Making Cats Easier to Love  There are, those tireless statisticians tell us, 63 million cats in this country. There'd be a lot fewer if it weren't for one Edward Lowe. Cats, you see, smell. Built for the desert, they use water with enviable efficiency, but the downside is that their urine . . . well, you know. To fight the odor, people tried sawdust, sand, wood shavings, but they weren't much help. Then one day in 1947 -- a watershed day in feline history -- Mr. Lowe had a neighbor try a dried, granulated clay used to sop up grease spills in factories. And, yes, Kitty Litter was born -- along with what is now a $600 million annual industry. And Mr. Lowe? In 1990 he sold his business for $200 million. And last week he died at age 75. OPPORTUNITIES  Gulps of Premium Juice  Who has the most impact on this marvelous capitalist machine we inhabit? Well, one week it might be Bill Gates, the next week Newt Gingrich, and the next, Steven Spielberg. Last week, of course, it was 12 faceless jurors in a Los Angeles courtroom. They spoke, and this mighty economy -- which prides itself on packing every second chock full -- ground to a halt for long, long minutes. You could have heard a stock drop, if any had been trading; you could have heard the phone ring, if anyone had called. The jurors spoke, and whole conglomerates were born -- reported $1 million sales of photos of the reunion of the defendant (what was his name?) and his children, tales of $50 million pay-per-view blowout interviews, other interview deals, book deals, and then probably books about the book deals. And, yes, talk of a television drama series based on the lives of two DNA experts. And it's only just begun.  HEALTH CARE  Medicare Plan Under Fire  Medicare may well need patching up, but the Republicans' notions about how to do it took a lot of flak last week. First came the American Medical Association, which has kept silent for much of the recent debate but now voiced concern that limits on payments would scare too many doctors away. ""It would be a major blow,"" said an A.M.A. spokesman. Then the A.A.R.P. joined the fray, saying Congress was cutting ""too much, too fast"" from projected spending. Newt Gingrich has been trying to get the elderly on his side, but he doesn't seem to have succeeded. And in a final attack, the head of the American College of Physicians said bluntly, ""We are not on board."""
"216","Kukrit Pramoj, Thai Ex-Prime Minister, Dies at 84",796413,"|obituaries",10,10,1995,"19951010T000000","|THAILAND"," 
 Kukrit Pramoj, a former Prime Minister of Thailand who steered the country through a difficult and politically dangerous period after the end of the Vietnam War, died yesterday in Bangkok. He was 84 and had been hospitalized for heart disease and diabetes. 
 Mr. Kukrit -- who was usually addressed with the noble title of Mom Rajawong because he was the son of a royal prince -- was one of Thailand's most colorful, outspoken and versatile characters. He co-founded a newspaper and wrote political commentary, mastered classical Thai dancing and opened a school to teach it to younger generations, acted in a film -- ""The Ugly American"" with Marlon Brando -- and remained an unashamedly opinionated elder statesman until the end of his life. 
 It was as a defender of nascent Thai democracy in the 1970's that Mr. Kukrit is best remembered by historians of contemporary Southeast Asia. Prime Minister for only 14 months in 1975-1976, he faced the collapse of South Vietnam, Laos and Cambodia to Communist movements, which many believed would soon threaten Thailand. 
 But Mr. Kukrit, rejecting the domino theory, established diplomatic relations with China and asked American troops to leave the huge bases from which they had mounted much of the war in Vietnam. 
 These bold steps were popular with Thai intellectuals, particularly leftists who had a influence on his thinking, John Bresnan, executive director of the Pacific Basin studies program at Columbia University, said yesterday. But his policies quickly provoked a conservative backlash. Mr. Kukrit and his Social Action Party were defeated in an election in 1976 that he had called in the hope of strengthening his political hand. 
 While Prime Minister, Mr. Kukrit tried to build a democratic polity strong enough to resist persistent pressures from the Thai Army, which has staged repeated coups over more than half a century. As late as 1987, when he was in his 70's, he was still defying the generals. After a speech in which he accused the military of trying to establish the equivalent of a Communist-style ""politburo"" to run the country, 250 ill-disciplined Thai Army rangers, troops known for violent behavior, arrived in buses from the remote northeast and tried to break into his home to threaten him. 
 When the Army commander, Gen. Chavalit Yongchaiyudh, who is now Defense Minister, did not discipline the troops, a storm of criticism arose in the ever-bolder Thai press. Students from 21 institutions of higher education -- precursors of the student leaders and young professionals who would take to the streets to defend democracy in 1992 -- came to his home with bouquets of flowers, a touching, traditional Thai way of showing respect or making amends. 
 Mr. Kukrit was born on April 20, 1911, and was educated in Thailand and at Oxford University. At 25, he married Pakpring Tongyai and they had two children: a son, Rongrit, and a daughter, Visumitra. His political career began in 1946 with his election to the Thai Parliament. Several years later he co-founded the Thai-language newspaper Siam Rath. He did not withdraw formally from politics until about four years ago. 
 A quiet nationalist -- his dog barked only at Westerners, he would tell visitors with a chuckle -- Mr. Kukrit became a strong advocate of holding on to Thai traditions in architecture, language and the arts while others were rushing into the Westernization that accompanied a phenomenal economic takeoff. In the center of booming Bangkok, surrounded by rising concrete apartment blocks and offices, he lived in a classical Thai house built of tropical wood, and filled it with Thai treasures. He set a powerful, if increasingly lonely, example. 
 ""We Thai can lead a life that is genuinely Thai and be quite happy about it,"" he said in an interview in 1987. ""We don't have to live in Western houses or employ Western methods in our daily lives. If we were to limit ourselves to just being Thai people, I think we would be happier all around."" 
 In addition to his immediate family, Mr. Kukrit is survived by a brother, Seni Pramoj, 90, also a former Prime Minister."
"217","Peter Wisher, 84, Who Created a Dance Genre for the Deaf, Dies",797497,"|obituaries",13,10,1995,"19951013T000000",NA," 
 Peter R. Wisher, a former Gallaudet University athletic coach who was so struck by the graceful flow of his students' sign language that he choreographed their hand movements into an acclaimed genre of dance for the deaf, died on Sunday at the Veterans Hospital in Washington. He was 84. 
 Mr. Wisher had been recuperating from injuries suffered in an automobile accident last April. 
 Before he took up his position as coach and professor of physical education at Gallaudet, the school for the deaf in Washington, Mr. Wisher, a former assistant basketball coach at the University of Maryland, spent the summer of 1955 learning American Sign Language. 
 But it was not until that fall, when he watched Gallaudet students signing the Lord's Prayer in a campus ceremony, that he had a vision of the hands as bodies on a stage. 
 In short order he created a new form of dance, one marked by large, exaggerated movements involving hands, arms and bodies. Although the prayer and countless other works that followed are perceived by most hearing audiences as dance, to those who know American Sign Language they are also opera since the dancers, moving in synchronization with the music they never hear, use the movement of their bodies to sign the lyrics they cannot sing. 
 Mr. Wisher's students, whose previous forays into dance had been limited to private, often furtive, mimicry of standard dance forms, were so enchanted by his initial exercises in choreography that he formed the college's first performing dance troupe, the Gallaudet Dance Company. 
 By the time he retired as athletic director in 1981, successive versions of the company had made national and international tours and performed on television. 
 For Mr. Wisher, an all-around athlete who coached everything from swimming to wrestling, the leap from athletics to dance was hardly a stretch. 
 He and his wife, Anne, had been involved in dance since their days on the gymnastics team at East Stroudsburg State College in Pennsylvania. 
 ""We even operated a Fred Astaire dance studio,"" Mrs. Wisher said yesterday, recalling that she and her husband also spent a summer at Connecticut College in the late 1940's studying with some of the greats of modern dance including Martha Graham, Charles Weidman and Doris Humphrey. 
 Indeed, Mr. Wisher, who obtained a master's degree and a doctorate in physical education from Penn State University, regarded dance as such an integral part of the athletic experience that his doctoral thesis was ""A Modern Dance Manual for Male Teachers of Physical Education."" 
 In a peripatetic coaching career, he routinely used dance both as a training regimen and as a full-fledged sport, often selecting the burliest athletes and transforming them into a performing dance troupe. 
 ""He wanted to counter the idea that men's dancing was somehow sissified,"" Mrs. Wisher explained. 
 Mr. Wisher, whose high school specialties had been diving, hurdling, pole vaulting and high jumping, did not see dance so much as a form of athletics as he saw athletics as a variation of dance. 
 ""Movement,"" he once said, ""was the prime interest in my life."" 
 Mr. Wisher, the son of a Polish immigrant, was born in Shenandoah, Pa. His original name was Wiskersky, but he changed it after college, his wife said, as the only way he could get a job in an era of ethnic prejudice. 
 His father was killed in a coal mining accident when Mr. Wisher was 6, qualifying the youngster for a free primary and secondary education at the Girard College boarding school in Philadelphia, an experience he attributed to changing the course of his life. 
 ""He always said that if it hadn't been for Girard he would have become a coal miner, too,"" Mrs. Wisher said. 
 Mr. Wisher, who served in the Navy during World War II and was coaching at Maryland when he was recalled to active duty during the Korean conflict, came to Gallaudet by accident. 
 ""Maryland saved his job for him, but not his seniority,"" said his wife, recalling that her husband was so miffed by what he saw as an injustice that he started looking for another job and found one at Gallaudet, a college he had never heard of. 
 Mr. Wisher had also never known a deaf person before. It gave him a certain advantage at a time when sign language was actively discouraged by traditional educators of the deaf, and the belief that those who could not hear music could not dance was so ingrained that it took someone who did not know any better to show the deaf and the world otherwise. 
 In addition to his wife, of College Park, Md., he is survived by a daughter, Judee Thompson-Judy of Waldorf, Md.; a sister, Anna Benjamin of Forty Fort, Pa., and a brother, Anthony Wisher of Reading, Pa."
"218","Executive Changes",801394,"|business",21,10,1995,"19951021T000000",NA," 
 ALTERNATIVE RESOURCES CORP., Lincolnshire, Ill., said Michael E. Harris had resigned as chief financial officer. Bradley K. Lamers, currently vice president of finance, was named acting chief financial officer. KENETECH CORP., San Francisco, an operator of alternative-fuel electric power plants, said Jean-Yves Dexmier, its chief financial officer, had resigned over differences with management and directors about who should handle dealings with the investment community. A successor has not yet been named."
